Employee_ID,First_Name,Last_Name,Department,Job_Level,Gender,Race,Hire_Date,Status,Exit_Date,Reason
11662,Jenna,Green,HR,Analyst,Male,Other,2023-05-03,Active,2025-02-16,Voluntary
18078,Savannah,Sutton,Operations,Analyst,Male,Black,2021-05-20,Terminated,2023-03-14,Involuntary
11157,Sandra,Acosta,Finance,Associate,Female,White,2023-09-20,Terminated,2023-04-10,Voluntary
2728,Rodney,Valencia,Retail Banking,Associate,Male,Asian,2015-12-10,Active,2023-10-01,Involuntary
11470,Robyn,Levine,Operations,Analyst,Male,Black,2017-03-23,Active,2023-09-12,Involuntary
10559,Jennifer,Carter,Retail Banking,Associate,Female,White,2018-07-09,Active,2024-03-07,Voluntary
13223,Michelle,Oneill,IT,Analyst,Female,Black,2016-12-02,Active,2022-11-29,Retirement
7733,Annette,Daniels,Retail Banking,Associate,Male,Black,2024-08-18,Active,2024-06-09,Voluntary
13530,Ann,Leonard,Compliance,Associate,Female,Other,2023-06-23,Active,2023-03-23,Voluntary
22916,Eric,Barnett,Operations,Analyst,Female,Asian,2016-09-19,Active,2022-12-10,Involuntary
23689,Jason,Jackson,Legal,Associate,Male,Black,2018-03-04,Active,2023-01-20,Voluntary
16473,Daniel,Moody,HR,Associate,Female,Black,2016-11-18,Active,2025-02-03,Voluntary
8181,Tammy,Armstrong,Finance,Director,Female,Hispanic,2015-09-25,Active,2024-11-04,Involuntary
9417,Andrew,Barnes,Legal,Analyst,Male,Asian,2022-12-03,Terminated,2024-07-12,Retirement
8989,Deanna,Cook,IT,Associate,Male,Other,2020-09-14,Active,2024-06-08,Voluntary
20095,James,Olson,HR,Associate,Male,Other,2020-11-27,Active,2023-09-27,Retirement
16876,James,Johnson,Risk,Associate,Male,Asian,2022-06-27,Active,2023-07-19,Voluntary
17878,Vickie,Ramirez,Finance,Manager,Male,Black,2020-02-02,Active,2024-07-06,Voluntary
4134,Tiffany,Shields,Legal,Analyst,Female,Hispanic,2021-06-06,Active,2024-12-11,Retirement
18882,Michael,Zimmerman,Compliance,Director,Female,White,2025-03-23,Active,2025-08-24,Involuntary
9643,Sara,Hines,Risk,Analyst,Female,Other,2019-05-09,Active,2022-11-07,Retirement
2313,Laura,Wang,Risk,Associate,Female,Asian,2021-08-24,Active,2025-05-04,Involuntary
22699,William,Garcia,Compliance,Manager,Female,White,2020-01-18,Active,2023-10-07,Voluntary
1988,Cody,Brown,Operations,Analyst,Male,Black,2023-07-16,Active,2025-08-10,Voluntary
1554,Matthew,Whitehead,Operations,Analyst,Female,Black,2018-11-18,Active,2025-09-08,Voluntary
18146,Julie,Yang,HR,Analyst,Male,Hispanic,2024-10-25,Active,2022-10-04,Voluntary
10426,Gregory,Lucas,IT,Analyst,Female,White,2025-05-04,Active,2025-07-11,Retirement
21915,Monica,Bowen,IT,Analyst,Male,Asian,2020-12-21,Active,2023-04-30,Voluntary
23929,Jorge,Hall,Legal,Manager,Female,Hispanic,2022-11-27,Active,2025-08-09,Voluntary
22751,David,Raymond,Finance,Associate,Other,White,2025-05-13,Active,2025-07-25,Voluntary
1494,Misty,Ingram,IT,Associate,Female,White,2023-02-04,Active,2023-08-01,Involuntary
11476,Jennifer,Osborn,Retail Banking,Manager,Male,White,2021-03-29,Active,2025-03-15,Voluntary
23664,Julie,Wright,Compliance,Associate,Female,Asian,2018-02-12,Active,2023-12-25,Voluntary
4650,Angela,Strickland,IT,Analyst,Female,Other,2020-11-23,Active,2023-08-19,Voluntary
11634,Marc,Smith,Risk,Associate,Female,Asian,2019-04-15,Active,2024-07-27,Voluntary
9399,Janice,Yang,Legal,Manager,Female,Black,2022-01-14,Active,2023-12-27,Voluntary
20874,Penny,Owens,HR,Manager,Female,Hispanic,2024-03-14,Active,2025-05-16,Voluntary
4456,Karen,White,Retail Banking,VP,Male,Asian,2022-10-17,Terminated,2023-10-21,Retirement
12746,Paul,Nash,Legal,Associate,Male,Black,2020-06-01,Active,2023-04-08,Voluntary
